@relation 'activity_recognition_PAMS01-weka.filters.unsupervised.attribute.Remove-R1-2,6-8-weka.filters.unsupervised.attribute.Remove-R7-9-weka.filters.unsupervised.attribute.Remove-R10-12-weka.filters.unsupervised.attribute.Remove-R13-15-weka.filters.unsupervised.attribute.Remove-R16-18-weka.filters.unsupervised.attribute.Remove-R25-27-weka.filters.unsupervised.attribute.Remove-R34-36-weka.filters.unsupervised.attribute.Remove-R19-21,36-37,39-44-weka.filters.unsupervised.attribute.Remove-R66-68-weka.filters.unsupervised.attribute.Remove-R64-90-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R43-56'

@attribute accX0 numeric
@attribute accy0 numeric
@attribute accz0 numeric
@attribute accX1 numeric
@attribute accy1 numeric
@attribute accz1 numeric
@attribute accX2 numeric
@attribute accy2 numeric
@attribute accz2 numeric
@attribute accX3 numeric
@attribute accy3 numeric
@attribute accz3 numeric
@attribute accX4 numeric
@attribute accy4 numeric
@attribute accz4 numeric
@attribute accX5 numeric
@attribute accy5 numeric
@attribute accz5 numeric
@attribute accX6 numeric
@attribute accy6 numeric
@attribute accz6 numeric
@attribute accX7 numeric
@attribute accy7 numeric
@attribute accz7 numeric
@attribute gyrox7 numeric
@attribute gyroy7 numeric
@attribute gyroz7 numeric
@attribute accX8 numeric
@attribute accy8 numeric
@attribute accz8 numeric
@attribute accX9 numeric
@attribute accy9 numeric
@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute CentroidGyroX numeric
@attribute CentroidGyroY numeric
@attribute CentroidGyroZ numeric
@attribute stdx numeric
@attribute stdy numeric
@attribute stdz numeric
@attribute Realstddev numeric
@attribute maxaccx numeric
@attribute maxaccy numeric
@attribute maxaccz numeric
@attribute maxgyrox numeric
@attribute maxgyroy numeric
@attribute maxgyroz numeric
@attribute class {Sitting,Standing,Running,Walking,DownStairs,UpStairs}

@data
-0.16161,0.17418,9.5804,-0.14605,0.15083,9.58519,-0.16041,0.1634,9.59835,-0.15323,0.16041,9.57501,-0.15263,0.14724,9.59297,-0.17538,0.16759,9.5792,-0.17358,0.16759,9.59117,-0.15024,0.1652,9.578,-0.02016,-0.01436,-0.00458,-0.16999,0.14365,9.57082,-0.15143,0.15562,-0.159455,0.159571,9.583091,-0.0208,-0.014111,-0.005346,0.000984,0.000887,0.000675,0.015955,-0.14605,0.17418,9.59835,-0.0171,-0.01161,-0.00214,Sitting
-0.17418,0.15502,9.56484,-0.16221,0.15024,9.56723,-0.17298,0.14186,9.58818,-0.1634,0.15143,9.581,-0.16759,0.15323,9.58998,-0.15083,0.15263,9.57501,-0.15981,0.15742,9.5798,-0.1634,0.14904,9.59955,-0.02046,-0.01252,-0.00733,-0.1634,0.1664,9.5804,-0.14545,0.14664,-0.162325,0.152391,9.580459,-0.020464,-0.013867,-0.006139,0.000708,0.00039,0.000968,0.014374,-0.14545,0.1664,9.59955,-0.01894,-0.01222,-0.00214,Sitting
-0.15862,0.16759,9.51994,-0.15921,0.17418,9.52892,-0.22087,0.1664,9.54149,-0.14186,0.1634,9.52832,-0.1658,0.14545,9.52593,-0.16879,0.164,9.51216,-0.19992,0.1634,9.54329,-0.20889,0.15802,9.54748,-0.02535,-0.01619,-0.00183,-0.16161,0.16161,9.53611,-0.1221,0.14964,-0.170767,0.161369,9.531855,-0.026478,-0.015028,-0.006016,0.008411,0.000646,0.001081,0.03184,-0.1221,0.17418,9.54748,-0.02321,-0.01191,-0.00183,Sitting
-0.18076,0.15263,9.53192,-0.17358,0.14664,9.52713,-0.15024,0.13467,9.52533,-0.14724,0.14964,9.53491,-0.14964,0.14724,9.5397,-0.16759,0.15622,9.51875,-0.17238,0.15263,9.51875,-0.2065,0.14245,9.53311,-0.02566,-0.01497,-0.00855,-0.14964,0.167,9.53371,-0.14844,0.15802,-0.164601,0.150714,9.529343,-0.025809,-0.013377,-0.004062,0.003383,0.000712,0.000424,0.021258,-0.14724,0.167,9.5397,-0.02443,-0.01038,-0.00183,Sitting
-0.4962,-0.64165,9.55586,-0.50757,-0.63207,9.54449,-0.50099,-0.63865,9.51575,-0.50338,-0.65422,9.54628,-0.51176,-0.64943,9.54508,-0.51834,-0.60513,9.54568,-0.4938,-0.5782,9.55167,-0.47764,-0.62608,9.53371,-0.01924,-0.02046,-0.00947,-0.47106,-0.65242,9.52832,-0.50218,-0.64105,-0.498292,-0.63189,9.540175,-0.021593,-0.017441,-0.005437,0.00191,0.005085,0.001295,0.028793,-0.47106,-0.5782,9.55586,-0.01863,-0.01069,-0.00183,Sitting
-0.15383,0.16101,9.56364,-0.14724,0.14664,9.57262,-0.15622,0.15083,9.56723,-0.16281,0.14664,9.578,-0.14724,0.14545,9.56843,-0.15622,0.15143,9.55047,-0.1652,0.14964,9.5798,-0.167,0.15443,9.56962,-0.0226,-0.01558,-0.00428,-0.14724,0.15742,9.57621,-0.15443,0.15443,-0.155743,0.151792,9.5716,-0.02077,-0.014417,-0.004214,0.000489,0.00023,0.001011,0.013151,-0.14724,0.16101,9.58998,-0.01619,-0.0113,-0.00183,Sitting
-0.15802,0.14245,9.58638,-0.1658,0.14485,9.56424,-0.14305,0.15981,9.59476,-0.1652,0.14545,9.57381,-0.16939,0.15263,9.57322,-0.16759,0.1658,9.578,-0.15263,0.15502,9.58698,-0.164,0.15742,9.58698,-0.02046,-0.01436,-0.00611,-0.15622,0.167,9.59057,-0.15024,0.15802,-0.159214,0.154845,9.583569,-0.020769,-0.014936,-0.003697,0.000671,0.000656,0.001108,0.015604,-0.14305,0.167,9.60075,-0.01985,-0.01191,-0.00183,Sitting
-0.16999,0.16041,9.53192,-0.11911,0.16999,9.5391,-0.10295,0.15443,9.51635,-0.12151,0.15562,9.52473,-0.16101,0.14724,9.50917,-0.18196,0.14545,9.54209,-0.17897,0.16879,9.52892,-0.15802,0.14664,9.51994,-0.02535,-0.01649,-0.00153,-0.15323,0.15383,9.5367,-0.1257,0.15024,-0.147245,0.155264,9.529041,-0.025443,-0.015119,-0.00336,0.00695,0.000689,0.001151,0.029649,-0.10295,0.16999,9.54209,-0.02413,-0.01344,-0.00153,Sitting
-0.16879,0.17119,9.55765,-0.16939,0.17178,9.53072,-0.21129,0.14126,9.53132,-0.17418,0.16101,9.53192,-0.14485,0.14006,9.52294,-0.13827,0.14545,9.52294,-0.17119,0.18076,9.52413,-0.17957,0.13288,9.53371,-0.0226,-0.01405,-0.00153,-0.18435,0.14245,9.53132,-0.18435,0.16281,-0.172623,0.154965,9.535687,-0.02474,-0.014691,-0.004215,0.0038,0.002454,0.002214,0.0291,-0.13827,0.18076,9.57022,-0.0226,-0.0113,-0.00153,Sitting
-0.50458,-0.62908,9.52234,-0.51176,-0.63566,9.53192,-0.51894,-0.63147,9.55346,-0.51475,-0.62668,9.52653,-0.50278,-0.63446,9.53551,-0.52553,-0.60932,9.55586,-0.495,-0.63027,9.53491,-0.50697,-0.63087,9.55885,-0.02107,-0.0171,-0.00855,-0.52194,-0.6213,9.54867,-0.4962,-0.6207,-0.509845,-0.626981,9.540296,-0.021747,-0.015882,-0.006049,0.000995,0.000565,0.001493,0.017475,-0.495,-0.60932,9.55885,-0.01833,-0.01038,-0.00153,Sitting
-0.15143,0.15024,9.57142,-0.16281,0.15443,9.57381,-0.16041,0.15323,9.5792,-0.16759,0.14245,9.57262,-0.16161,0.164,9.60554,-0.15562,0.13408,9.5792,-0.16819,0.1652,9.58758,-0.16161,0.14964,9.57262,-0.02138,-0.01466,-0.00428,-0.1664,0.15622,9.57441,-0.14784,0.14784,-0.160351,0.151733,9.580518,-0.021594,-0.013989,-0.005438,0.000418,0.000781,0.001038,0.014956,-0.14784,0.1652,9.60554,-0.01741,-0.01252,-0.00153,Sitting
-0.15323,0.15083,9.60015,-0.16101,0.14664,9.57621,-0.15802,0.14844,9.5798,-0.15143,0.14365,9.5792,-0.164,0.15502,9.57262,-0.15263,0.17059,9.57142,-0.16819,0.16819,9.5786,-0.17059,0.15083,9.58279,-0.01649,-0.01191,-0.00397,-0.15742,0.15622,9.58399,-0.16281,0.15921,-0.159933,0.154962,9.581595,-0.02031,-0.014202,-0.005621,0.000388,0.000713,0.000674,0.013323,-0.15143,0.17059,9.60015,-0.01649,-0.01191,-0.00153,Sitting
-0.18435,0.14664,9.53311,-0.1658,0.14724,9.5367,-0.15502,0.1634,9.53371,-0.15502,0.15502,9.50857,-0.164,0.17238,9.51396,-0.16759,0.15383,9.53371,-0.14545,0.14066,9.53251,-0.11732,0.15562,9.5792,-0.02474,-0.01833,-0.00733,-0.14784,0.15263,9.54508,-0.15981,0.15383,-0.15622,0.154125,9.535086,-0.024069,-0.015302,-0.004582,0.002788,0.000709,0.003213,0.025904,-0.11732,0.17238,9.5792,-0.0226,-0.01283,-0.00122,Sitting
-0.15383,0.15921,9.52713,-0.1664,0.15443,9.53611,-0.15742,0.15862,9.52773,-0.14485,0.15203,9.54808,-0.16041,0.1658,9.52892,-0.17238,0.14425,9.53132,-0.1664,0.16879,9.52952,-0.10355,0.18016,9.5397,-0.02627,-0.01527,-0.00519,-0.11971,0.11432,9.56124,-0.16101,0.1658,-0.150596,0.156341,9.53491,-0.025169,-0.014907,-0.004764,0.004436,0.002849,0.001323,0.02934,-0.10355,0.18016,9.56124,-0.02291,-0.01283,-0.00122,Sitting
-0.16221,0.15862,9.581,-0.1658,0.1652,9.5774,-0.1664,0.164,9.60015,-0.14186,0.17119,9.59596,-0.16281,0.1658,9.56484,-0.15502,0.15323,9.59716,-0.14245,0.14485,9.57022,-0.16281,0.15263,9.58578,-0.02138,-0.01374,-0.00122,-0.17358,0.15622,9.58998,-0.15742,0.15981,-0.159036,0.159155,9.584768,-0.021685,-0.014539,-0.00492,0.000939,0.000541,0.001221,0.016434,-0.14186,0.17119,9.60015,-0.01894,-0.01252,-0.00122,Sitting
-0.1664,0.15024,9.58578,-0.16041,0.15981,9.5804,-0.15263,0.15802,9.59177,-0.15981,0.14605,9.58399,-0.15742,0.15682,9.58519,-0.16101,0.15682,9.58878,-0.16819,0.14126,9.54808,-0.17059,0.13587,9.5798,-0.01985,-0.01313,-0.00122,-0.15622,0.14245,9.58638,-0.15921,0.15083,-0.161189,0.149817,9.580638,-0.020923,-0.014019,-0.005376,0.000283,0.000603,0.001362,0.014993,-0.15263,0.15981,9.59177,-0.01924,-0.01191,-0.00122,Sitting
-0.15622,0.15862,9.53551,-0.15682,0.14964,9.52952,-0.13946,0.15862,9.5385,-0.17059,0.1634,9.5385,-0.1652,0.16819,9.55346,-0.15443,0.16161,9.52114,-0.15921,0.15383,9.53491,-0.15143,0.17238,9.5403,-0.02627,-0.01527,-0.00428,-0.15862,0.14245,9.52773,-0.14844,0.15323,-0.156042,0.158197,9.533951,-0.025259,-0.01573,-0.004154,0.000669,0.000705,0.000884,0.01503,-0.13946,0.17238,9.55346,-0.0223,-0.01191,-0.00092,Sitting
-0.15502,0.15323,9.57322,-0.13827,0.16101,9.58938,-0.14844,0.15024,9.58459,-0.16101,0.1664,9.58459,-0.15742,0.15562,9.59117,-0.15443,0.16161,9.57322,-0.15802,0.15383,9.59716,-0.15083,0.14844,9.55287,-0.02138,-0.01374,-0.00336,-0.15862,0.15742,9.58459,-0.15802,0.14605,-0.154008,0.155385,9.583573,-0.020524,-0.013835,-0.005438,0.000404,0.000365,0.001893,0.016315,-0.13827,0.1664,9.60494,-0.01772,-0.01283,-0.00092,Sitting
-0.15981,0.15502,9.60494,-0.16221,0.15562,9.57501,-0.16041,0.15622,9.56244,-0.17957,0.15323,9.58638,-0.167,0.14545,9.5798,-0.14964,0.14664,9.581,-0.16041,0.16221,9.581,-0.164,0.14964,9.5804,-0.02199,-0.01344,-0.00122,-0.15562,0.16101,9.59716,-0.16939,0.17059,-0.162806,0.155563,9.582853,-0.021227,-0.013653,-0.003759,0.000589,0.000523,0.001211,0.015243,-0.14964,0.17059,9.60494,-0.01955,-0.0113,-0.00092,Sitting
-0.16879,0.14545,9.57142,-0.1658,0.15024,9.56962,-0.15981,0.15024,9.58219,-0.17059,0.15323,9.58339,-0.15862,0.14784,9.5786,-0.15203,0.15024,9.5816,-0.16819,0.15502,9.57381,-0.15981,0.14964,9.59297,-0.01894,-0.01527,-0.00519,-0.16879,0.14724,9.5774,-0.15862,0.14964,-0.163105,0.149878,9.580277,-0.021044,-0.01405,-0.003329,0.000338,0.000069,0.000553,0.009801,-0.15203,0.15502,9.59297,-0.01863,-0.01222,-0.00092,Sitting
-0.1646,0.13946,9.51935,-0.14186,0.16041,9.52713,-0.16161,0.17238,9.51456,-0.14485,0.15203,9.55945,-0.14186,0.15802,9.53491,-0.17657,0.17957,9.55466,-0.16759,0.15383,9.54089,-0.15682,0.15443,9.53431,-0.02566,-0.01374,-0.00214,-0.11013,0.19393,9.55885,-0.15682,0.18375,-0.152271,0.164781,9.536465,-0.025413,-0.014232,-0.004276,0.003153,0.002582,0.002501,0.028698,-0.11013,0.19393,9.55945,-0.02413,-0.0113,-0.00061,Sitting
-0.4974,-0.63746,9.53611,-0.51415,-0.63147,9.54628,-0.50817,-0.63267,9.53431,-0.48961,-0.62608,9.54329,-0.4962,-0.64344,9.53072,-0.50099,-0.62369,9.53012,-0.48842,-0.62908,9.53551,-0.4938,-0.6201,9.53431,-0.02291,-0.01252,-0.00947,-0.50278,-0.63027,9.52892,-0.50159,-0.63506,-0.499311,-0.630932,9.535388,-0.021501,-0.013653,-0.005653,0.000575,0.000417,0.000276,0.011262,-0.48842,-0.6201,9.54628,-0.01649,-0.01069,-0.00061,Sitting
-0.16939,0.14844,9.57681,-0.15862,0.14066,9.578,-0.16221,0.15502,9.57441,-0.15862,0.15981,9.57262,-0.16221,0.14305,9.58399,-0.15622,0.164,9.58998,-0.164,0.14844,9.56723,-0.1652,0.14844,9.58279,-0.02169,-0.01374,-0.00397,-0.16101,0.15562,9.56124,-0.15562,0.15742,-0.16131,0.15209,9.577166,-0.021044,-0.014416,-0.005008,0.000162,0.000503,0.000679,0.011594,-0.15562,0.164,9.58998,-0.01924,-0.01191,-0.00061,Sitting
-0.14605,0.15263,9.59656,-0.15383,0.15263,9.59297,-0.16281,0.15622,9.58399,-0.1658,0.15682,9.58638,-0.15143,0.14605,9.57322,-0.17119,0.15083,9.59237,-0.15862,0.15742,9.5774,-0.1658,0.14186,9.59476,-0.02169,-0.01436,-0.00977,-0.17298,0.15802,9.578,-0.164,0.14605,-0.161251,0.151853,9.582792,-0.021076,-0.014174,-0.004887,0.000677,0.000282,0.001618,0.016054,-0.14605,0.15802,9.59656,-0.01833,-0.011,-0.00061,Sitting
-0.1652,0.14784,9.5774,-0.16939,0.15921,9.59177,-0.17837,0.15622,9.59476,-0.15742,0.16041,9.5774,-0.15502,0.15502,9.5786,-0.15802,0.15562,9.58339,-0.15443,0.15203,9.5786,-0.15562,0.1652,9.57441,-0.02016,-0.0168,-0.0058,-0.15682,0.16819,9.57561,-0.15083,0.15263,-0.160112,0.157237,9.580037,-0.020984,-0.014263,-0.00452,0.000632,0.000343,0.00057,0.012428,-0.15083,0.16819,9.59476,-0.01924,-0.01252,-0.00061,Sitting
-0.1227,0.16939,9.51456,-0.13946,0.15862,9.52832,-0.14664,0.15024,9.54568,-0.15383,0.15143,9.5385,-0.17657,0.15862,9.51994,-0.14365,0.15502,9.53192,-0.16999,0.16221,9.54449,-0.13288,0.14904,9.53192,-0.02107,-0.01405,-0.00031,-0.16221,0.15203,9.49241,-0.17478,0.14126,-0.152271,0.154786,9.527846,-0.024648,-0.014905,-0.004307,0.003033,0.000553,0.002245,0.024148,-0.1227,0.16939,9.54568,-0.02107,-0.01191,-0.00031,Sitting
-0.52074,-0.63566,9.55227,-0.52194,-0.61471,9.53371,-0.5375,-0.62249,9.52413,-0.54827,-0.63147,9.52892,-0.54348,-0.61292,9.53251,-0.56563,-0.64224,9.54389,-0.51415,-0.62369,9.5373,-0.54887,-0.64464,9.5397,-0.01955,-0.01405,-0.00458,-0.52792,-0.63207,9.53371,-0.56264,-0.64763,-0.539114,-0.630752,9.537781,-0.021136,-0.013654,-0.003085,0.002838,0.00133,0.00077,0.022221,-0.51415,-0.61292,9.55227,-0.01894,-0.01008,-0.00031,Sitting
-0.49799,-0.64703,9.54449,-0.51834,-0.61471,9.53072,-0.50338,-0.58059,9.52773,-0.49081,-0.67397,9.54269,-0.47824,-0.63506,9.57082,-0.495,-0.6596,9.55646,-0.51894,-0.61711,9.55107,-0.51715,-0.60992,9.53551,-0.02413,-0.01802,-0.00031,-0.49979,-0.63686,9.56124,-0.50996,-0.61471,-0.50296,-0.628956,9.546103,-0.022144,-0.014783,-0.004521,0.001599,0.00664,0.001706,0.031536,-0.47824,-0.58059,9.57082,-0.01863,-0.00611,-0.00031,Sitting
-0.49021,-0.6189,9.52832,-0.50398,-0.6213,9.52952,-0.47525,-0.65541,9.5367,-0.48902,-0.62608,9.5397,-0.50338,-0.63386,9.53132,-0.50039,-0.64943,9.55646,-0.51475,-0.63446,9.54149,-0.52253,-0.63386,9.5379,-0.02718,-0.01069,-0.00702,-0.50877,-0.63207,9.54987,-0.50518,-0.66379,-0.501346,-0.636916,9.537482,-0.022418,-0.015089,-0.004763,0.001667,0.001955,0.000915,0.021301,-0.47525,-0.6189,9.55646,-0.02046,-0.01069,-0.00031,Sitting
-0.14664,0.15921,9.59357,-0.15083,0.15981,9.57322,-0.14784,0.15083,9.56603,-0.16161,0.16281,9.56124,-0.1646,0.15143,9.60195,-0.1634,0.1634,9.5774,-0.16281,0.14605,9.59895,-0.16281,0.167,9.59416,-0.02046,-0.01344,-0.00153,-0.15502,0.14605,9.59057,-0.16759,0.15024,-0.158315,0.155683,9.583031,-0.020982,-0.013623,-0.003269,0.000516,0.000525,0.001891,0.017122,-0.14664,0.167,9.60195,-0.01955,-0.01191,-0.00031,Sitting
-0.15862,0.1664,9.57082,-0.15024,0.15802,9.60614,-0.16041,0.15083,9.57441,-0.15921,0.14904,9.58578,-0.14545,0.14844,9.5798,-0.14964,0.15502,9.58219,-0.15383,0.17059,9.57082,-0.15622,0.15263,9.5798,-0.02138,-0.01252,-0.00275,-0.1646,0.15383,9.57381,-0.1634,0.14245,-0.156162,0.154725,9.579439,-0.020341,-0.014323,-0.005833,0.000355,0.000642,0.001041,0.014274,-0.14545,0.17059,9.60614,-0.01894,-0.01252,-0.00031,Sitting
