@relation 'activity_recognition_PAMS01-weka.filters.unsupervised.attribute.Remove-R1-67,80-89,98-127'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute CentroidGyroX numeric
@attribute CentroidGyroY numeric
@attribute CentroidGyroZ numeric
@attribute stdx numeric
@attribute stdy numeric
@attribute stdz numeric
@attribute Realstddev numeric
@attribute RADII numeric
@attribute Density numeric
@attribute MeanMagnitude numeric
@attribute AbsoluteDiffrence numeric
@attribute maxaccx numeric
@attribute maxaccy numeric
@attribute maxaccz numeric
@attribute maxgyrox numeric
@attribute maxgyroy numeric
@attribute maxgyroz numeric
@attribute class {Sitting,Standing,Running,Walking,cycling,DownStairs,UpStairs}

@data
2.379356,8.39036,2.962706,0.167378,0.412579,0.663156,20.965926,134.991078,105.08816,5.109258,7.772907,0.005086,10.316948,17.503581,5.09007,11.98657,8.99861,2.76386,2.44071,3.17803,UpStairs
2.656726,6.124845,3.190394,0.236159,0.341933,0.14169,41.552286,192.750926,92.957109,5.720667,9.221809,0.003046,8.984279,23.364749,5.66289,12.12364,7.4723,2.73668,2.01616,2.2602,UpStairs
1.191294,7.481042,2.496075,-0.188086,-0.213222,-0.112613,33.966738,299.823382,104.743611,6.622188,8.74072,0.003577,9.552199,37.067919,4.26707,15.66287,8.63888,2.89336,1.61055,1.52869,UpStairs
2.58915,8.113529,2.976112,-0.311694,0.615051,0.243094,37.820365,192.778662,80.99622,5.582072,9.144142,0.003124,9.989242,30.908863,5.83407,13.79898,7.70095,2.71133,3.37625,2.79288,UpStairs
0.885076,9.692448,1.994192,0.275775,0.43515,0.443061,38.742817,235.284055,69.327685,5.859646,9.641841,0.002665,10.629324,36.65816,5.06793,16.4344,8.70592,2.29594,2.3784,1.40194,UpStairs
0.851676,6.852865,2.099537,0.353201,0.444129,0.156351,12.790454,204.729625,102.412387,5.656257,9.181778,0.003086,8.55804,28.075182,2.24277,14.44542,8.85915,3.00698,3.05188,2.34267,UpStairs
0.295684,7.822816,4.798459,-0.078343,-0.607536,-0.494986,19.705619,233.643965,224.76385,6.914575,9.399801,0.002876,11.229843,18.241301,2.92212,14.35803,12.04104,3.42818,0.31612,0.613,UpStairs
1.894473,8.370968,2.586578,-0.167589,0.136529,0.14343,43.169472,226.451732,178.770886,6.696209,13.583987,0.000953,10.690421,25.555744,6.00645,17.06826,12.49055,3.5757,0.85399,3.62549,UpStairs
1.88645,6.434479,3.136882,-0.345292,0.506314,0.720088,46.401333,270.690458,145.954423,6.80475,9.130578,0.003138,9.257628,29.591081,5.45339,13.03403,9.44213,2.7434,2.61817,2.48347,UpStairs
2.691801,8.651808,3.100729,0.388633,-0.032377,-0.02758,54.714566,276.386236,218.817657,7.415649,13.614546,0.000947,11.120772,34.367177,8.36953,15.13315,14.61301,4.21039,0.9954,0.48228,UpStairs
1.077689,7.031471,5.03351,-0.044136,-0.156688,0.035553,68.653021,376.956877,316.116297,8.727693,16.190468,0.000563,10.935364,45.019283,6.22193,14.39633,18.50299,2.50577,1.09772,1.01648,UpStairs
1.531691,7.479424,5.02944,-0.324004,0.058491,-0.000793,15.940771,252.016294,236.239545,7.10068,11.498084,0.001571,10.781732,34.879191,2.90776,14.80514,16.44218,1.89979,1.38025,1.24067,UpStairs
1.773925,7.804858,4.350444,0.286037,0.65726,0.640644,117.819646,321.470997,202.389259,8.010493,15.156717,0.000686,11.312343,33.361942,5.66109,16.06689,16.20216,4.10593,3.06654,2.80112,UpStairs
