@relation 'activity_recognition_PAMS01-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R64-65-weka.filters.unsupervised.attribute.Remove-R61-62-weka.filters.unsupervised.attribute.Remove-R4-6,10-12,16-18,28-30,34-36,40-42,58-61,74-83,92-121-weka.filters.unsupervised.attribute.Remove-R34-36-weka.filters.unsupervised.attribute.Remove-R13-15-weka.filters.unsupervised.attribute.Remove-R25-27-weka.filters.unsupervised.attribute.Remove-R41-42,44'

@attribute accX0 numeric
@attribute accy0 numeric
@attribute accz0 numeric
@attribute accX1 numeric
@attribute accy1 numeric
@attribute accz1 numeric
@attribute accX2 numeric
@attribute accy2 numeric
@attribute accz2 numeric
@attribute accX3 numeric
@attribute accy3 numeric
@attribute accz3 numeric
@attribute accX4 numeric
@attribute accy4 numeric
@attribute accz4 numeric
@attribute accX5 numeric
@attribute accy5 numeric
@attribute accz5 numeric
@attribute accX6 numeric
@attribute accy6 numeric
@attribute accz6 numeric
@attribute accX7 numeric
@attribute accy7 numeric
@attribute accz7 numeric
@attribute accX8 numeric
@attribute accy8 numeric
@attribute accz8 numeric
@attribute accX9 numeric
@attribute accy9 numeric
@attribute accz9 numeric
@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute CentroidGyroX numeric
@attribute CentroidGyroY numeric
@attribute CentroidGyroZ numeric
@attribute stdx numeric
@attribute stdy numeric
@attribute stdz numeric
@attribute Realstddev numeric
@attribute MeanMagnitude numeric
@attribute maxaccx numeric
@attribute maxaccy numeric
@attribute maxaccz numeric
@attribute maxgyrox numeric
@attribute maxgyroy numeric
@attribute maxgyroz numeric
@attribute class {Sitting,Standing,Running,Walking,DownStairs,UpStairs}

@data
0.2478,2.0644,9.30985,0.06823,1.75615,9.25,0.03412,2.03088,9.30507,0.00239,1.98599,9.30746,0.22386,2.10869,9.34636,0.14724,1.87526,9.27574,-0.2903,1.96624,9.32781,0.25139,2.2709,9.32661,-0.07063,1.75495,9.32242,0.03352,1.97282,9.26556,0.064762,1.978628,9.303688,-0.017869,-0.003909,0.006628,0.250665,0.222881,0.00845,0.219544,9.514364,0.25139,2.2709,9.34636,0.01374,0.11148,0.0507,Sitting
-0.01257,1.76752,9.30147,0.03053,2.1039,9.33918,0.20111,1.92733,9.35415,0.19752,2.03747,9.32482,-0.11492,1.94589,9.35714,0.18615,1.901,9.22306,-0.0401,1.73101,9.33978,0.16041,1.99018,9.31285,0.09756,1.95307,9.37988,-0.21069,2.05782,9.29369,0.0495,1.941519,9.322602,-0.015058,-0.010264,0.02141,0.185153,0.128053,0.01733,0.181807,9.524369,0.20111,2.1039,9.37988,0.02138,0.06872,0.06017,Sitting
0.05806,1.84354,9.31404,0.00479,2.11228,9.28352,-0.00419,1.9423,9.30147,-0.13827,1.97941,9.28292,0.25917,1.9423,9.33679,-0.09038,2.01652,9.35594,-0.06524,1.68372,9.32003,0.21967,2.09912,9.28771,0.11073,2.0231,9.31344,0.04609,2.04944,9.28292,0.040043,1.969173,9.307878,-0.02028,-0.000917,0.005437,0.14873,0.147775,0.005649,0.173826,9.515531,0.25917,2.11228,9.35594,0.00672,0.1463,0.06658,Sitting
-0.0419,2.19608,9.26676,0.11313,1.98479,9.2907,0.0826,1.99497,9.30866,0.05028,1.91596,9.3338,-0.16101,1.94708,9.26317,0.21488,2.13802,9.28112,0.23104,2.02729,9.34038,0.13467,2.13144,9.3314,0.05387,1.95846,9.32422,-0.08918,2.20027,9.21708,0.058838,2.049436,9.295729,-0.02248,-0.002903,-0.008643,0.143754,0.103032,0.014018,0.161494,9.52047,0.23104,2.20027,9.34038,-0.00092,0.135,0.02749,Sitting
-0.12091,1.81361,9.28771,0.20411,2.19429,9.30327,0.14365,1.89321,9.36791,0.09457,2.27629,9.30866,-0.06764,1.79625,9.2901,0.06704,2.06859,9.29848,0.08021,2.00993,9.30087,0.11313,2.00694,9.33499,0.20051,1.94409,9.414,-0.17298,2.26252,9.27873,0.054169,2.026572,9.318472,-0.01912,-0.012676,0.005621,0.154944,0.271577,0.01621,0.210412,9.538659,0.20411,2.27629,9.414,0.00336,0.08063,0.05651,Sitting
0.38547,1.95666,9.35295,-0.07901,2.03806,9.27035,0.12749,2.03148,9.30925,-0.06225,2.00395,9.30447,-0.16879,2.00155,9.29848,0.17059,1.91057,9.33858,-0.19812,2.07158,9.27633,0.03771,1.97522,9.31165,0.05806,2.0219,9.32601,0.14605,2.0231,9.3314,0.04172,2.003407,9.311947,-0.021654,-0.020798,0.001925,0.280519,0.018969,0.00621,0.174842,9.526694,0.38547,2.07158,9.35295,-0.00519,0.06048,0.02291,Sitting
-0.19632,2.05961,9.28352,0.26456,1.99736,9.37869,0.07542,2.00874,9.33559,-0.11013,1.95307,9.30686,-0.04908,2.05123,9.28831,0.02035,1.88124,9.29908,0.35434,2.12964,9.35355,-0.18375,1.75734,9.32661,0.05866,2.22661,9.28232,0.02215,1.68492,9.34218,0.02562,1.974976,9.319671,-0.021288,-0.028557,-0.000458,0.285862,0.242623,0.009713,0.231991,9.529416,0.35434,2.22661,9.37869,0.00336,0.0281,0.04551,Sitting
0.17777,2.20087,9.27753,-0.35314,1.90698,9.30746,0.25738,2.00455,9.36791,0.02035,2.24696,9.2925,0.01496,1.84413,9.35834,-0.2053,1.97402,9.25539,0.08859,1.90519,9.34098,0.05028,1.72742,9.29908,-0.21608,1.58975,9.25359,0.14964,2.13084,9.32661,-0.001555,1.953071,9.307939,-0.015945,0.001496,-0.00339,0.344775,0.381671,0.014534,0.27221,9.514365,0.25738,2.24696,9.36791,0.00794,0.12095,0.0449,Sitting
-0.08021,1.83635,9.27813,0.06584,2.15239,9.29609,-0.08799,2.0632,9.25419,0.05447,2.16196,9.32003,0.07482,2.00933,9.32422,0.00838,1.92374,9.31105,-0.07781,2.07098,9.26377,0.18854,1.92554,9.3727,-0.05387,1.99676,9.28771,-0.05088,1.95367,9.31285,0.004129,2.009392,9.302074,-0.021015,-0.003146,-0.001588,0.074068,0.097989,0.010573,0.135141,9.517526,0.18854,2.16196,9.3727,0.00916,0.0672,0.0223,Sitting
0.10235,1.98419,9.29908,0.06823,2.08954,9.29848,0.16281,2.19369,9.32003,0.07302,2.07218,9.29728,0.05148,2.05602,9.34098,0.10116,1.95427,9.33619,-0.11013,1.92434,9.35953,-0.19573,2.12306,9.21528,0.1646,1.95546,9.36432,-0.13587,1.83156,9.332,0.028192,2.018431,9.316317,-0.024343,-0.008155,0.003328,0.147898,0.10405,0.016621,0.163881,9.533853,0.1646,2.19369,9.36432,-0.00397,0.07361,0.03024,Sitting
