@relation 'activity_recognition'

@attribute CentroidAccX numeric
@attribute CentroidAccY numeric
@attribute CentroidAccZ numeric
@attribute class {sitting,standing,walking,stairs_down,stairs_up}

@data
-0.5231,-0.1823,9.8805,sitting
-0.4752,-0.1727,9.9092,sitting
-0.4561,-0.1225,9.902,sitting
-0.4752,-0.1751,9.8996,sitting
-0.468,-0.1656,9.89,sitting
-0.4513,-0.1392,9.9116,sitting
-0.4824,-0.1727,9.9116,sitting
-0.4824,-0.1991,9.9283,sitting
-0.5398,-0.0244,9.8541,sitting
-0.4561,-0.0507,9.7656,sitting
-0.3077,-0.1369,9.902,sitting
-0.5063,-0.0363,9.8829,sitting
-0.3795,-0.1727,9.9044,sitting
-0.5733,-0.144,9.9164,sitting
-0.468,-0.0244,9.9235,sitting
-0.4346,-0.1273,9.8852,sitting
-1.5735,0.6121,8.9903,sitting
-1.7482,-0.2852,10.1413,sitting
-3.4328,-0.3044,9.8709,sitting
-0.3364,1.4305,9.5622,sitting
-0.3604,0.77,9.1602,sitting
-1.2792,-0.3713,11.3784,sitting
4.6406,-0.6393,10.3518,sitting
-1.9061,-0.5269,9.5885,sitting
4.8871,-1.1394,9.4641,sitting
3.1212,-0.9648,8.5668,sitting
2.6307,-0.7901,9.6795,sitting
2.3435,-0.8571,9.2631,sitting
2.5828,-0.6776,9.4043,sitting
2.3842,-0.7374,9.7177,sitting
2.1234,-0.4407,9.5407,sitting
2.5924,-0.6657,9.366,sitting
2.8867,-0.747,9.4426,sitting
2.5708,-0.2948,9.3397,sitting
0.3886,0.3178,6.509,sitting
-0.4441,-0.0579,10.4476,sitting
-0.4848,0.0641,10.0671,sitting
-1.8008,0.033,9.579,sitting
-1.4611,-0.0483,10.1102,sitting
-0.9993,1.4568,10.292,sitting
0.9653,-0.6465,9.9092,sitting
0.5465,0.2101,9.7752,sitting
0.0799,0.1527,9.9451,sitting
-0.011,0.1958,9.9355,sitting
-0.2168,0.2867,9.5957,sitting
-0.4322,-0.0435,9.9044,sitting
-0.5542,0.3896,9.8015,sitting
0.3647,0.0546,9.8589,sitting
-0.2814,0.2436,9.8326,sitting
-0.1881,0.2771,9.701,sitting
-0.291,0.1288,9.8159,sitting
-0.1474,0.179,9.5383,sitting
-0.3699,0.0546,9.8589,sitting
-0.3628,0.2221,9.847,sitting
-0.4848,-0.0052,9.6603,sitting
-0.2383,0.2819,9.8685,sitting
0.2139,0.2484,10.2226,sitting
-0.3293,0.1288,9.9068,sitting
-0.0732,0.2962,9.5263,sitting
-0.2479,0.1886,9.8087,sitting
-0.2718,0.2125,9.914,sitting
-0.2647,0.1168,9.9451,sitting
-0.2503,0.2364,9.8541,sitting
-0.1857,0.0522,9.9451,sitting
-0.2383,0.2149,9.8852,sitting
-0.3077,0.0139,9.9259,sitting
-0.2503,0.2556,9.8278,sitting
0.1062,-0.0268,9.9714,sitting
-0.2551,0.2508,9.847,sitting
-0.0302,0.167,10.2777,sitting
-0.358,0.1575,9.8781,sitting
-0.0158,0.392,10.0216,sitting
-0.3125,0.1551,9.8206,sitting
0.0321,0.3585,9.7608,sitting
-0.2383,0.1862,9.8302,sitting
-0.0397,0.2939,9.646,sitting
-0.3029,0.0953,9.8135,sitting
-0.2024,0.3106,9.8159,sitting
-0.3819,0.0474,9.9379,sitting
-0.2359,0.2604,9.7776,sitting
-0.2264,0.0857,9.8446,sitting
-0.078,0.2412,9.7776,sitting
-0.2958,-0.0722,9.9714,sitting
-0.1498,0.1958,9.7489,sitting
-0.1857,0.112,9.8685,sitting
-0.2168,0.1168,9.914,sitting
-0.3508,-0.0244,9.9762,sitting
-0.2001,0.3058,9.8613,sitting
-0.0206,0.0091,9.7656,sitting
-0.1977,0.2604,9.847,sitting
0.0225,0.1,9.9235,sitting
0.0895,0.1862,9.8876,sitting
0.2067,0.0546,9.9498,sitting
0.202,0.0378,9.89,sitting
0.0703,0.0378,10.1197,sitting
-1.3366,-0.0316,9.6962,sitting
-0.7265,0.8322,9.3421,sitting
-1.0016,0.1599,9.6101,sitting
-1.9253,-1.5175,9.1052,sitting
-2.4876,-0.4575,9.8374,sitting
-1.7937,-0.0746,8.5453,sitting
-1.9947,-1.1873,9.9857,sitting
-2.2172,-0.4479,9.4234,sitting
-2.8824,-0.5771,8.7774,sitting
-1.4419,-2.1373,9.3301,sitting
-0.1211,1.7319,6.6095,sitting
-0.5925,-0.1632,10.2466,sitting
-1.1667,-0.5556,9.3516,sitting
-0.5111,-0.4312,10.5528,sitting
-0.8102,-0.8284,9.9642,sitting
-0.7576,-0.8714,9.8709,sitting
-0.6164,-0.6035,9.8948,sitting
-0.3173,-0.5317,9.9283,sitting
-0.6451,-0.6728,9.8039,sitting
-0.5757,-0.6537,10.0838,sitting
-0.2336,-1.1849,9.5981,sitting
-0.6212,-0.6561,10.2107,sitting
0.635,0.045,9.2009,sitting
0.6542,-0.5125,9.6316,sitting
0.0943,-0.5747,9.8852,sitting
-0.0038,-0.6609,9.9451,sitting
0.3551,-0.5197,9.8398,sitting
-0.0086,-0.345,9.689,sitting
-0.3269,-0.6202,9.9307,sitting
-0.3006,-0.6776,9.957,sitting
-0.2982,-0.5652,9.8733,sitting
-0.4082,-0.5077,9.9522,sitting
-0.1498,-0.5628,9.9259,sitting
-0.1618,-0.4503,9.7776,sitting
-0.547,-1.0318,9.5646,sitting
-0.2718,-0.4096,9.9594,sitting
0.099,-0.4336,9.9834,sitting
-0.2336,-0.5077,9.9403,sitting
0.1828,-0.4862,10.6079,sitting
-0.3053,-0.4982,10.0049,sitting
0.099,-0.479,10.4667,sitting
-0.279,-0.5269,9.9331,sitting
-0.2718,-0.8858,9.78,sitting
-0.2527,-0.5388,10.0815,sitting
-0.2551,-1.0007,9.5622,sitting
-0.1689,-0.5149,9.8685,sitting
-0.0254,-0.6992,9.9331,sitting
-0.1761,-0.5891,9.969,sitting
-0.3029,-0.5006,9.8685,sitting
-0.1642,-0.6154,9.9259,sitting
-0.0995,-0.5628,9.9498,sitting
-0.1474,-0.4742,9.89,sitting
-0.1187,-0.5317,9.9116,sitting
-0.0517,-0.5125,9.9164,sitting
-0.2024,-0.5197,9.9834,sitting
-0.1043,-0.479,9.9068,sitting
0.1493,-0.5795,9.9307,sitting
-0.145,-0.5293,9.9307,sitting
-0.0445,-0.4192,10.0336,sitting
-0.3388,-0.7566,9.9092,sitting
-0.2288,-0.6513,9.9331,sitting
-0.2192,-0.6082,9.9259,sitting
-0.2001,-0.5939,9.8685,sitting
-0.1355,-0.6633,9.8852,sitting
-0.078,-0.8667,9.9881,sitting
-0.3508,-0.4431,9.9211,sitting
-0.2072,-0.6585,10.0264,sitting
-0.2264,-0.5723,9.9116,sitting
-0.023,-0.5006,9.9235,sitting
-0.0876,-0.5747,9.9331,sitting
-0.0661,-0.5747,9.9307,sitting
-0.0565,-0.5915,9.9092,sitting
-0.0732,-0.5819,9.9403,sitting
-0.0493,-0.5388,9.9164,sitting
-0.078,-0.5747,9.9116,sitting
-0.0756,-0.5891,9.9116,sitting
-0.0589,-0.5699,9.9259,sitting
-0.0565,-0.5412,9.8972,sitting
-0.0852,-0.5508,9.9331,sitting
